battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range
1414,0,2.6,0,1,0,27,0.6,137,4,20,804,1564.0,312.0,5,2,8,0,0,1,0
1526,0,1.1,1,2,1,38,0.3,116,5,6,798,1418.0,3317.0,7,1,8,1,1,1,1
1577,0,0.5,1,0,1,42,0.3,197,5,4,1045,1737.0,2060.0,19,6,12,1,0,0,1
1442,0,1.0,1,0,0,27,0.1,192,3,19,231,687.0,2227.0,6,5,20,1,1,0,0
1960,1,,1,1,1,61,0.3,86,7,3,205,1299.0,3865.0,10,7,11,1,0,0,1
1063,1,,0,0,1,26,0.8,101,5,2,1208,1232.0,3809.0,17,16,5,1,0,1,1
574,1,3.0,0,1,1,30,0.9,126,2,3,94,1334.0,1167.0,5,3,19,1,0,0,1
1611,1,0.5,1,11,0,3,0.6,98,3,14,303,714.0,1595.0,8,4,9,1,0,1,0
1090,1,2.3,0,1,1,8,0.6,128,8,8,1217,1670.0,1.0,17,3,11,1,0,1,1
1828,1,2.1,1,0,0,17,0.9,199,1,1,336,898.0,2280.0,17,14,4,0,0,0,1
1615,0,0.5,0,14,0,15,0.1,132,4,16,622,1256.0,3488.0,16,2,3,0,0,1,1
1191,0,1.3,1,16,1,26,0.8,84,1,20,681,,1604.0,14,3,9,1,0,1,0
752,0,,1,1,0,48,0.7,87,7,13,164,728.0,3860.0,7,5,16,0,0,0,1
803,1,2.1,0,7,0,17,1.0,198,4,11,344,,2680.0,7,1,4,1,0,1,1
1048,1,0.9,0,10,1,28,0.8,194,2,19,966,1975.0,1458.0,5,1,15,1,0,1,1
581,0,0.6,0,5,1,56,0.2,180,2,10,523,565.0,1.0,10,4,13,1,1,1,1
580,1,,1,0,0,24,0.4,135,4,5,404,898.0,3565.0,12,11,8,1,0,1,1
826,0,0.5,1,0,1,57,0.5,135,2,0,354,530.0,1.0,17,3,7,1,0,1,0
605,0,1.5,0,9,1,18,0.9,162,2,14,329,656.0,1.0,15,9,8,1,0,0,0
627,1,1.6,1,3,1,12,0.2,131,7,17,447,819.0,2476.0,17,1,10,1,0,0,0
1511,0,2.5,1,3,0,21,0.2,114,3,18,1455,1982.0,3746.0,10,0,5,1,0,0,1
608,1,0.5,1,0,0,64,0.9,94,4,0,4,,1.0,16,8,7,1,1,1,0
1358,1,0.5,0,11,1,36,0.3,155,4,14,1565,1858.0,1.0,9,4,4,1,1,0,1
600,0,0.5,0,1,0,48,0.8,191,3,7,501,1465.0,,12,7,8,1,0,0,1
1303,0,1.0,1,0,1,15,0.1,138,3,10,229,1604.0,2574.0,12,4,14,1,1,1,1
1106,1,1.9,0,4,0,54,0.7,107,3,9,614,1212.0,1.0,9,3,9,1,0,1,1
1524,0,2.6,1,5,0,57,0.5,124,2,12,629,635.0,1.0,11,4,16,0,1,1,0
742,1,0.5,0,0,1,36,0.7,139,3,1,1161,1288.0,292.0,8,0,6,1,1,1,0
1310,0,1.4,0,0,0,33,0.4,105,1,14,806,1016.0,1.0,13,12,19,0,0,1,0
1954,0,0.5,1,0,0,24,0.8,187,4,0,512,1149.0,700.0,16,3,5,1,1,1,0
1778,0,0.5,0,0,1,23,0.5,101,6,11,1028,1445.0,3941.0,19,6,13,1,0,0,1
1884,0,,1,3,0,24,0.5,149,6,4,1168,1179.0,,15,8,9,1,1,1,1
535,1,0.5,1,8,1,54,0.5,145,8,15,710,939.0,2674.0,14,8,10,1,0,0,1
1993,1,0.5,0,10,1,27,0.3,147,8,11,150,510.0,2437.0,14,0,9,1,0,0,1
1332,0,1.3,1,5,1,7,0.8,168,7,19,846,,2790.0,19,11,10,1,1,0,1
1707,0,1.4,0,0,0,41,0.8,80,7,2,1331,1388.0,1.0,12,0,10,0,0,0,1
1065,0,,1,0,1,21,0.1,158,5,3,760,1722.0,1193.0,16,13,20,1,0,1,0
1614,0,1.2,0,1,1,9,0.1,161,3,2,173,,1832.0,15,8,11,1,0,0,1
1398,0,1.6,1,8,1,26,0.8,150,1,12,755,1284.0,3488.0,14,3,11,1,1,0,1
935,1,,1,3,1,58,0.1,155,5,12,639,1087.0,2473.0,10,4,9,1,0,1,1
1307,0,1.8,0,2,0,7,0.6,88,7,3,897,1103.0,1.0,16,9,5,0,0,1,0
1234,1,1.6,1,1,0,33,0.6,172,1,3,166,778.0,1449.0,11,7,6,0,0,1,0
801,1,2.2,1,2,0,63,0.4,165,7,4,650,879.0,1617.0,17,4,19,0,0,1,0
1628,0,0.5,0,5,1,33,0.9,101,6,8,412,643.0,3361.0,16,10,13,1,0,0,1
1487,0,0.5,0,6,1,57,0.7,84,3,12,140,768.0,2563.0,18,4,14,1,0,0,1
851,0,2.3,1,7,1,54,1.0,101,2,9,788,1007.0,1005.0,12,2,14,1,0,1,0
1560,0,2.3,0,0,1,22,0.8,169,7,1,745,1364.0,,15,11,16,1,1,1,1
958,1,1.6,0,9,1,60,0.4,200,1,12,730,751.0,1417.0,10,4,19,1,0,1,0
592,0,0.8,1,1,0,52,0.9,103,7,10,332,970.0,1507.0,5,0,4,0,0,1,0
718,0,0.7,1,0,1,21,0.8,88,1,7,518,830.0,,17,11,9,1,0,1,0
586,0,1.4,1,10,1,8,0.5,142,8,14,116,598.0,1.0,9,7,10,1,0,1,1
702,0,2.6,1,2,1,9,0.7,141,3,3,504,1570.0,2955.0,10,4,19,1,0,0,1
1081,1,2.5,1,13,0,49,1.0,99,3,17,284,519.0,1.0,9,1,6,0,0,1,0
1893,1,2.1,1,8,0,63,0.2,134,2,11,637,763.0,1.0,14,3,18,0,1,1,1
1021,0,1.3,0,7,0,9,0.7,192,2,12,901,,1.0,6,1,14,1,1,0,0
1864,0,1.9,1,2,0,57,0.1,181,6,6,1279,1793.0,1.0,19,9,8,0,0,1,1
1432,1,1.7,1,6,1,39,0.3,164,4,18,209,947.0,504.0,14,4,10,1,1,0,0
1994,0,,1,2,1,7,0.5,146,8,7,447,1435.0,3622.0,7,0,20,1,0,1,1
1215,0,1.0,0,4,0,16,0.1,130,4,8,454,1473.0,2632.0,7,1,15,0,0,1,1
516,0,,1,0,1,39,0.4,91,5,7,855,1401.0,1.0,8,0,10,1,1,1,1
1699,1,0.5,0,16,0,21,0.1,156,4,20,105,1099.0,,16,0,18,1,1,0,0
1177,0,0.9,0,1,1,29,0.4,191,2,8,178,882.0,1.0,18,5,19,1,0,0,0
1372,1,2.7,0,7,0,34,0.4,193,4,17,687,937.0,725.0,11,3,20,1,0,0,0
1164,1,2.6,1,0,0,61,0.3,88,1,6,1107,1656.0,1.0,11,10,17,0,1,0,1
1702,0,1.0,0,7,0,36,0.1,177,5,9,1240,1931.0,1.0,8,6,10,0,0,0,1
1056,1,2.1,1,8,1,37,0.7,101,3,11,914,979.0,2651.0,15,5,3,1,1,1,1
615,1,2.5,0,0,0,10,0.8,131,6,9,1216,1786.0,,16,8,11,1,0,0,1
867,1,1.5,0,0,1,57,0.1,159,4,0,289,724.0,2157.0,8,6,18,1,0,0,0
1333,0,1.4,0,3,1,59,0.7,183,7,5,394,1301.0,1.0,18,16,5,1,1,0,1
600,0,,0,0,0,14,0.8,112,5,2,320,747.0,1.0,18,0,9,0,0,0,0
825,0,2.9,1,0,0,34,0.8,99,8,17,1471,1866.0,2915.0,8,2,10,1,1,0,1
757,0,2.3,1,5,1,58,0.2,163,4,7,535,697.0,1.0,19,12,9,1,0,1,1
1220,1,2.8,0,1,0,54,0.7,109,7,20,383,1249.0,1037.0,6,4,15,1,0,0,0
1221,0,0.5,0,1,1,28,0.5,139,1,7,1895,1976.0,2438.0,13,11,10,1,1,1,1
694,1,1.8,1,15,0,36,0.4,193,4,20,983,,3676.0,12,8,5,1,0,1,1
1151,1,2.9,1,0,0,31,0.6,128,8,1,1022,1560.0,2377.0,18,8,13,0,1,0,1
1097,0,1.4,0,0,0,60,0.8,181,1,17,405,519.0,1.0,15,12,12,1,0,0,0
1485,0,1.0,0,2,1,32,0.7,84,2,9,510,1013.0,,19,1,11,1,1,0,1
1268,1,2.9,0,9,1,42,0.9,182,6,17,360,912.0,931.0,11,5,20,1,1,0,0
1552,1,2.2,0,6,1,13,0.2,123,6,9,269,1026.0,2403.0,9,2,9,1,1,1,1
1975,1,1.5,0,6,1,16,0.9,128,8,11,80,655.0,2998.0,5,4,13,1,1,0,1
1663,1,2.5,1,13,1,27,0.3,169,4,14,831,1439.0,,7,1,18,1,0,0,1
1815,0,,0,2,0,33,0.6,159,4,17,607,,1482.0,18,0,2,1,0,0,0
1602,0,1.6,1,0,1,35,0.1,99,7,7,1325,1800.0,1.0,18,17,13,1,0,0,1
1896,0,0.5,1,8,1,7,0.4,141,2,13,447,794.0,3684.0,9,7,18,1,0,0,1
531,0,1.1,0,10,0,63,0.7,189,7,14,145,1903.0,,17,1,19,0,1,0,1
1431,1,0.5,0,0,1,56,0.6,191,1,1,156,952.0,1.0,7,3,8,1,0,0,0
1018,1,0.7,1,7,0,63,0.1,155,5,18,856,883.0,3048.0,10,3,2,0,0,1,1
1890,0,,0,4,1,48,0.5,127,4,5,1438,1832.0,2392.0,10,4,15,1,0,1,1
1230,1,,1,6,0,26,0.8,123,5,7,416,676.0,1.0,11,5,9,0,1,1,0
1413,0,,1,4,1,39,0.1,185,5,12,1039,1318.0,,19,16,4,1,0,0,1
1658,1,1.4,1,0,1,38,0.3,159,5,0,51,739.0,,12,11,19,1,0,0,1
664,1,1.1,1,1,1,51,0.1,110,7,4,701,1478.0,,19,15,6,1,1,1,1
626,1,2.8,1,3,1,11,0.8,109,2,9,737,1759.0,1077.0,6,1,4,1,0,1,1
710,1,0.5,0,6,0,32,0.8,151,5,9,485,857.0,1.0,12,11,18,0,1,0,0
1402,1,0.6,1,3,0,46,0.3,87,7,12,1081,1767.0,347.0,17,0,12,1,0,1,0
1695,0,2.3,1,1,0,34,0.4,84,5,10,713,,3296.0,17,6,14,0,0,0,1
1840,0,0.5,1,12,0,34,0.7,142,1,16,311,1545.0,1.0,8,0,10,0,0,0,0
560,0,0.5,1,15,0,50,0.3,159,2,20,1448,1613.0,2150.0,18,12,11,1,1,0,1
1413,0,0.5,1,5,0,51,0.3,117,5,11,187,517.0,3383.0,16,5,2,0,0,0,1
1770,1,2.3,0,0,0,9,0.6,183,6,5,1098,1373.0,1.0,13,10,14,1,0,1,1
896,0,1.0,1,3,1,4,0.3,111,1,4,1379,1469.0,1060.0,12,10,4,1,1,1,0
777,1,2.6,0,3,0,30,0.9,148,5,17,189,1143.0,1.0,14,10,7,1,0,0,1
1175,1,1.7,1,1,1,45,0.6,167,2,7,90,557.0,2240.0,10,6,5,1,1,0,0
1426,1,2.5,0,2,1,55,0.4,109,1,7,777,1032.0,2562.0,5,1,3,1,0,0,1
922,1,0.7,0,0,1,47,1.0,157,8,14,1295,1808.0,1464.0,17,4,12,1,0,1,1
717,0,1.1,1,2,1,14,0.1,99,8,6,1878,1981.0,629.0,16,15,20,1,0,0,0
1992,1,1.6,0,5,1,57,1.0,100,2,15,1552,1596.0,1.0,9,3,4,1,1,1,0
1973,0,,1,5,1,39,0.8,152,4,6,792,,1993.0,9,0,5,1,0,0,1
1083,1,1.4,1,2,1,49,0.8,156,5,9,295,503.0,1.0,16,8,5,1,1,1,0
1046,1,,1,0,1,58,0.2,100,8,0,259,,,17,12,9,1,1,1,1
741,0,1.5,0,1,0,14,0.3,178,5,13,334,,1886.0,19,11,9,1,1,1,1
1812,1,1.3,1,4,1,42,1.0,162,7,15,380,,3338.0,18,13,11,1,1,1,1
1725,1,1.6,1,6,1,6,0.5,119,2,18,609,1307.0,3429.0,6,5,4,1,1,0,1
877,0,1.5,1,0,1,17,0.1,195,7,0,1064,1985.0,1.0,11,8,9,1,1,1,0
812,0,0.5,1,1,0,64,1.0,106,4,7,35,1309.0,3102.0,6,0,2,0,0,0,1
560,1,2.0,1,6,1,57,0.3,81,3,12,80,1327.0,1.0,11,10,7,1,0,1,0
1126,0,0.7,0,3,0,49,0.9,165,8,17,114,1726.0,3739.0,14,1,13,1,0,0,1
1940,1,1.0,1,0,1,5,0.2,194,4,1,588,1809.0,820.0,19,18,3,1,1,1,0
1007,0,2.0,0,0,0,45,0.1,95,5,2,1186,1529.0,3648.0,9,0,16,0,0,0,1
1563,0,1.7,1,10,0,16,0.1,151,7,13,410,572.0,1.0,11,1,8,0,0,1,1
626,0,0.7,1,2,1,23,0.5,187,2,9,90,1334.0,3458.0,7,5,11,1,0,1,1
1498,1,,0,3,1,8,0.1,170,7,4,347,1076.0,,7,3,19,1,0,0,1
1814,0,1.4,1,1,1,9,0.4,141,2,2,756,786.0,3556.0,18,12,16,1,0,0,1
635,1,0.5,1,2,0,42,0.4,149,3,4,300,,2973.0,12,5,18,0,0,1,1
545,0,0.5,0,0,1,11,0.3,131,3,1,381,1452.0,616.0,15,6,19,1,1,1,0
1068,0,,0,6,1,52,0.1,97,8,7,994,1500.0,1.0,16,1,15,1,0,0,1
1876,0,1.3,1,9,1,64,1.0,98,3,19,600,1211.0,3132.0,17,0,2,1,1,1,1
1541,1,1.5,1,6,1,5,0.5,109,4,10,536,1656.0,1795.0,7,3,4,1,1,1,0
1537,1,,0,4,1,43,0.3,137,1,5,839,1131.0,3685.0,18,17,17,1,1,1,1
659,0,1.4,1,2,1,3,0.1,85,8,6,190,657.0,967.0,10,1,14,1,0,1,0
790,0,0.5,1,7,1,44,0.1,89,8,8,1100,1437.0,1.0,13,11,9,1,1,0,1
1076,0,,0,3,0,14,0.2,105,5,4,545,1300.0,1.0,7,5,14,0,0,0,0
1899,1,0.6,0,0,0,26,0.1,151,2,0,96,814.0,1.0,13,11,4,1,0,1,0
816,0,,1,2,0,9,0.1,117,1,3,1196,1651.0,1.0,10,3,14,1,0,1,1
1509,0,0.6,1,5,0,50,0.3,81,4,8,1010,1684.0,1540.0,12,8,3,1,1,0,0
1597,1,0.9,0,4,1,4,0.5,85,1,19,880,1145.0,1.0,8,3,15,1,1,0,1
1359,1,0.5,1,1,1,58,0.5,107,6,3,446,901.0,1076.0,16,8,4,1,1,1,1
728,0,2.3,1,4,0,23,0.8,111,4,5,126,817.0,457.0,17,10,16,1,1,1,0
852,0,1.0,1,4,1,62,0.7,104,7,13,293,1159.0,2253.0,17,4,7,1,1,0,0
1368,1,1.6,1,4,0,9,0.1,115,7,7,843,1145.0,2941.0,13,12,17,0,1,0,1
1172,1,2.1,1,4,0,41,0.1,95,3,7,1314,1884.0,1107.0,7,3,5,0,0,0,0
1593,1,1.0,0,0,1,52,0.7,130,8,0,761,1336.0,1354.0,15,13,13,1,1,1,0
1119,0,0.5,1,0,1,23,0.4,164,4,1,821,915.0,3520.0,7,4,7,1,0,0,1
891,0,0.5,1,9,1,25,0.3,196,2,19,375,1724.0,2073.0,7,1,10,1,0,1,0
1330,0,,0,6,1,52,0.8,84,4,12,462,1304.0,3269.0,19,6,8,1,1,0,1
1059,0,2.4,0,8,0,61,0.1,134,3,18,1613,1916.0,3716.0,15,13,11,1,1,0,1
1831,1,2.3,0,3,1,44,0.2,148,7,14,437,1113.0,1.0,10,5,18,1,0,0,1
1028,1,2.8,0,1,1,30,0.1,193,1,10,1801,,1424.0,18,4,13,1,0,1,0
897,0,1.4,1,1,0,17,0.4,171,1,2,547,1852.0,2948.0,12,3,5,0,0,1,1
1995,1,0.5,0,6,0,26,0.2,129,1,15,649,1104.0,1322.0,15,11,7,0,1,1,0
774,1,2.8,0,7,1,55,0.9,124,3,18,8,896.0,1.0,8,1,12,1,1,0,1
1042,0,2.2,0,15,1,11,0.6,139,5,16,68,1018.0,2826.0,18,0,2,1,0,0,1
1766,1,,1,1,1,22,0.8,122,8,4,291,1318.0,1.0,7,5,16,1,0,0,1
1162,0,1.0,0,0,0,50,0.5,104,4,10,332,866.0,1404.0,10,3,15,1,1,1,0
570,1,0.5,1,2,0,9,0.3,111,7,5,1331,1917.0,3663.0,14,10,14,0,0,0,1
1923,0,1.3,0,3,0,24,1.0,86,4,4,874,1264.0,2479.0,9,2,15,1,1,0,1
1725,0,0.5,1,8,1,52,1.0,185,6,12,1125,1195.0,1.0,19,18,5,1,1,1,0
1084,1,2.6,0,3,1,40,0.9,107,3,11,322,771.0,1.0,15,4,10,1,1,0,0
1095,1,2.6,1,0,1,44,0.7,103,4,5,838,1066.0,1.0,13,11,8,1,1,1,1
1137,0,,0,6,1,3,0.9,173,5,7,1250,1285.0,316.0,15,14,17,1,0,0,0
689,0,1.4,0,2,0,45,0.5,103,5,11,256,823.0,1.0,10,1,10,1,0,0,1
1074,0,2.4,1,2,1,9,0.9,103,6,14,946,952.0,1948.0,13,1,18,1,1,1,0
1537,0,2.9,0,11,1,46,0.8,158,4,17,686,1305.0,2857.0,17,14,2,1,1,1,1
1392,0,,0,0,1,44,0.7,113,4,2,482,1098.0,1.0,8,1,16,1,0,1,0
965,1,1.5,1,5,0,13,1.0,109,2,14,130,998.0,1138.0,9,8,10,0,1,0,1
1549,1,,1,0,0,62,0.7,91,4,4,167,990.0,799.0,7,3,9,1,0,1,0
894,0,0.9,0,5,1,54,0.2,130,3,15,104,541.0,2829.0,11,5,13,1,0,1,1
820,0,0.5,1,2,0,58,0.3,160,4,4,468,694.0,1.0,17,7,17,0,0,1,0
1507,1,,1,0,1,42,0.4,123,5,0,682,888.0,1.0,15,3,19,1,0,0,0
1596,0,2.9,1,7,0,7,0.7,149,2,9,169,1190.0,2493.0,14,12,13,1,1,1,1
919,0,,1,11,0,13,0.3,159,1,15,275,570.0,1028.0,8,4,17,1,0,0,0
1067,1,2.4,1,3,1,40,0.6,122,8,15,494,1989.0,,16,14,11,1,0,0,0
1453,0,1.6,1,12,1,52,0.3,96,2,18,187,1311.0,2373.0,10,1,10,1,1,1,1
869,1,1.0,0,7,1,57,0.6,118,1,15,1243,1584.0,2727.0,13,3,8,1,0,0,1
571,0,1.6,1,8,0,35,0.2,186,7,20,177,1282.0,2598.0,13,5,8,1,1,0,0
1745,0,1.5,1,4,1,57,0.1,159,3,16,1164,1908.0,2885.0,13,11,5,1,1,1,1
1213,1,0.5,0,0,0,16,0.5,108,5,0,226,1248.0,2700.0,12,3,9,0,0,1,1
1811,1,2.0,0,3,1,22,0.2,82,2,8,358,,1.0,9,2,4,1,0,1,1
1299,0,2.8,1,2,0,60,0.8,187,8,6,1333,1838.0,1.0,13,1,20,0,1,1,0
1312,0,0.5,1,0,1,28,0.8,163,2,0,1233,1854.0,1.0,17,16,14,1,0,0,0
842,0,2.2,0,1,0,7,0.6,188,2,2,20,756.0,2549.0,9,7,19,0,0,1,0
535,0,1.9,0,5,0,24,0.2,190,8,19,398,1775.0,524.0,9,3,4,0,0,0,0
610,1,1.6,1,9,0,52,0.4,90,4,19,1039,1273.0,1.0,10,4,12,1,1,1,1
1676,0,1.6,0,2,0,37,0.2,145,1,3,134,1197.0,1.0,14,8,4,1,0,1,1
829,0,0.5,0,0,0,56,0.6,129,7,1,91,1916.0,820.0,12,6,11,1,0,1,1
1949,0,,1,4,0,47,0.3,199,4,7,407,822.0,1433.0,11,5,20,0,0,1,0
1187,0,,0,0,1,21,0.2,122,6,6,215,1125.0,2547.0,10,3,5,1,1,0,1
623,0,2.0,0,2,0,6,0.1,127,3,4,144,672.0,1.0,17,3,19,1,1,0,1
770,1,1.5,1,6,0,61,0.2,196,4,9,603,1483.0,3473.0,7,3,4,0,0,1,1
1498,1,1.2,1,0,1,14,0.1,191,4,1,111,1167.0,577.0,14,12,12,1,1,0,0
1860,1,2.3,0,15,0,23,0.6,162,4,16,1362,1506.0,3918.0,9,2,8,0,1,0,1
1075,0,0.5,1,2,0,11,0.2,122,1,16,271,1769.0,1.0,8,3,7,1,0,0,1
880,1,1.7,1,0,0,33,0.7,173,2,2,30,1350.0,1414.0,12,1,7,1,1,0,0
644,1,,1,7,1,30,0.5,114,1,16,1140,1654.0,1.0,9,0,19,1,0,1,1
696,0,0.5,0,6,0,51,0.3,197,3,8,649,907.0,2630.0,18,8,9,0,0,1,0
1397,0,2.4,1,5,1,3,0.2,121,3,15,433,1658.0,1.0,18,15,4,1,1,1,0
1807,0,0.8,1,0,1,38,0.2,97,8,0,1332,1814.0,1069.0,7,6,7,1,0,0,0
1068,0,0.7,1,9,0,51,0.5,124,4,15,1405,1910.0,550.0,12,8,6,1,1,0,0
609,0,,0,3,0,26,0.3,93,4,4,938,1948.0,,11,10,14,1,1,1,0
706,0,,0,13,1,31,0.1,108,3,19,543,938.0,2419.0,8,7,4,1,0,1,0
1900,1,2.0,1,1,0,41,0.5,190,8,6,912,1596.0,1.0,5,1,4,1,1,1,0
1152,1,2.1,1,0,1,26,0.3,82,2,0,1304,1673.0,3284.0,15,2,8,1,0,1,1
1081,1,1.9,1,13,1,42,0.1,101,7,17,83,816.0,1.0,7,4,7,1,0,0,0
1977,0,1.3,1,2,0,31,0.4,173,8,6,1145,1356.0,2641.0,8,2,7,0,0,0,1
1510,0,0.6,1,1,0,32,0.7,135,3,8,963,1520.0,854.0,8,2,10,1,0,1,0
593,0,0.5,0,6,0,31,0.4,156,7,7,1233,1317.0,1692.0,6,2,7,1,0,0,0
1708,1,2.4,1,18,1,49,0.1,109,1,19,233,517.0,3388.0,6,4,16,1,1,1,1
959,1,1.7,0,15,0,13,0.4,155,4,16,87,736.0,3328.0,10,9,10,1,1,1,1
1671,0,0.6,1,7,1,61,0.1,129,2,11,263,848.0,2336.0,10,4,7,1,0,0,1
1689,1,0.5,0,11,0,9,0.5,150,5,15,467,675.0,1.0,8,4,3,1,0,0,1
709,0,2.4,1,1,0,11,0.1,130,5,11,119,1531.0,3568.0,16,14,3,0,0,1,1
1065,1,0.5,0,0,1,14,0.7,89,2,2,188,928.0,1.0,10,1,18,1,0,1,1
775,0,1.0,0,3,0,46,0.7,159,2,16,862,1864.0,568.0,17,15,11,1,1,1,0
1408,1,2.5,0,3,0,32,0.1,151,4,6,875,982.0,3162.0,19,18,3,1,0,0,1
1821,0,0.9,0,9,1,12,0.3,114,1,18,97,,2430.0,7,4,6,1,1,1,1
775,1,2.5,1,1,1,10,0.1,185,7,14,444,1555.0,1719.0,19,3,18,1,1,1,1
1790,0,2.5,1,9,0,2,0.1,184,1,14,622,792.0,,7,0,20,1,1,1,0
995,0,1.3,1,1,0,10,0.1,104,4,3,258,1889.0,609.0,11,3,5,1,0,1,0
715,0,2.3,1,4,0,48,0.1,160,4,6,21,562.0,3709.0,14,2,10,0,0,0,1
510,1,2.0,1,5,1,45,0.9,168,6,16,483,754.0,3919.0,19,4,2,1,1,1,1
1504,0,2.3,1,1,0,64,0.9,182,1,2,19,1923.0,3059.0,6,5,10,0,1,0,1
1562,1,1.2,1,0,1,52,0.1,105,7,9,480,728.0,2829.0,13,10,3,1,1,1,1
1422,0,1.0,0,15,0,3,0.1,112,1,17,1,926.0,,19,1,3,1,1,1,0
1631,0,,0,2,1,13,0.5,166,2,16,960,,1.0,12,3,8,1,1,0,1
730,0,1.5,0,9,0,9,0.7,122,4,15,1371,1677.0,2787.0,10,8,7,1,0,1,1
748,1,,0,0,1,27,0.9,150,8,4,450,1554.0,1.0,18,9,7,1,0,0,0
1686,1,0.5,1,4,0,28,0.8,182,5,8,599,,780.0,11,10,5,0,0,0,0
1836,1,1.7,1,3,0,26,0.1,134,6,16,408,1139.0,3097.0,5,0,18,0,1,0,1
1997,1,1.8,1,1,0,40,0.5,185,4,8,866,1212.0,1655.0,7,6,15,1,0,0,1
848,1,2.8,0,1,0,8,0.1,103,7,3,7,1294.0,1.0,10,6,15,1,1,1,1
1512,1,0.5,0,1,0,52,0.1,131,1,14,333,952.0,3002.0,6,5,7,0,0,1,1
1975,1,1.9,1,2,0,31,0.9,151,1,17,775,1607.0,3022.0,13,5,19,0,0,1,1
1163,1,1.9,0,6,0,2,0.9,133,5,20,919,,1568.0,14,0,19,1,0,0,0
723,0,0.5,0,0,1,3,0.2,168,4,3,920,1748.0,1851.0,15,3,16,1,0,0,0
615,1,,1,7,0,58,0.5,130,5,8,1021,,1906.0,14,5,5,1,0,0,0
775,1,2.6,0,0,0,30,0.4,189,7,10,561,1510.0,2523.0,17,16,9,1,0,1,1
1876,0,2.8,1,3,1,56,0.4,182,3,4,235,585.0,1.0,12,2,18,1,0,0,1
1965,1,2.6,1,0,0,39,0.2,187,4,3,915,1965.0,2032.0,11,10,16,1,1,1,1
1347,0,0.9,1,8,1,53,0.8,108,6,15,961,1008.0,3836.0,15,3,14,1,0,1,1
651,1,0.8,1,2,1,63,0.2,176,5,4,548,858.0,1.0,14,9,19,1,1,0,0
1348,0,2.0,0,18,0,52,0.3,98,3,20,1869,1942.0,955.0,18,11,7,1,1,1,0
685,0,,0,2,0,29,0.8,93,7,10,433,,728.0,14,8,4,0,0,1,0
841,0,0.5,0,6,1,11,0.3,81,5,14,125,675.0,957.0,6,5,11,1,1,0,0
1349,1,2.2,1,5,0,55,0.1,105,7,7,648,1019.0,,15,7,17,1,0,1,1
1229,0,0.5,1,15,0,14,0.8,191,2,16,120,1878.0,1.0,17,6,17,0,0,1,1
1000,1,0.5,0,12,0,63,0.7,179,8,18,1537,1761.0,3744.0,11,1,7,0,0,1,1
1413,1,0.5,1,4,1,45,0.4,104,5,6,1949,1994.0,2973.0,17,8,15,1,0,1,1
1296,0,0.9,1,0,1,14,0.5,124,5,3,811,1272.0,490.0,7,1,4,1,1,1,0
796,0,0.5,0,2,0,12,0.5,114,1,8,174,518.0,1075.0,7,3,2,0,1,0,0
1010,1,2.0,1,2,1,8,0.9,139,5,3,547,957.0,,15,11,12,1,1,0,1
1650,0,2.3,0,0,1,38,0.7,89,1,1,773,881.0,324.0,14,10,2,1,1,1,0
1851,1,1.9,1,3,1,12,0.9,198,6,11,293,1967.0,1.0,7,6,14,1,0,1,0
1174,0,0.7,1,1,1,25,0.8,91,2,8,1097,1461.0,1.0,19,7,3,1,0,1,0
1396,0,,1,0,1,44,0.1,118,6,1,173,1843.0,1386.0,7,1,8,1,1,1,0
1362,1,2.9,0,0,0,47,0.5,186,6,4,600,1042.0,3629.0,19,17,5,0,1,1,1
1949,1,0.5,1,2,1,31,0.1,145,5,9,837,1182.0,1.0,7,3,19,1,0,0,0
1590,0,1.9,1,3,1,21,1.0,160,5,18,920,963.0,1701.0,11,4,4,1,0,1,0
881,0,1.0,0,1,0,64,0.5,160,3,6,115,636.0,2110.0,18,9,6,1,1,1,0
1160,0,1.1,0,1,1,63,0.7,166,3,2,762,,1.0,18,4,15,1,0,1,0
1924,0,0.5,0,3,1,63,0.3,111,2,10,122,686.0,3423.0,13,3,19,1,0,0,1
833,1,0.6,1,0,1,27,0.3,145,4,2,649,1290.0,,19,8,19,1,0,1,0
1083,1,2.9,1,1,1,64,0.8,178,3,11,1025,1118.0,3210.0,13,3,4,1,0,0,1
1905,0,0.6,1,9,1,36,0.4,119,3,20,825,1542.0,1287.0,13,4,16,1,0,0,0
1170,0,2.9,1,2,0,40,0.4,169,6,5,427,684.0,1.0,16,8,2,1,1,1,0
638,0,1.7,1,11,0,27,0.5,102,4,17,1171,1383.0,2735.0,7,2,9,1,1,0,1
539,0,1.5,0,6,1,26,0.2,137,6,8,1123,,1.0,18,11,15,1,1,1,1
1248,0,2.4,0,6,1,9,0.4,89,3,8,71,1686.0,2454.0,9,8,13,1,1,0,1
1839,1,1.2,0,9,1,54,0.5,200,7,11,475,1493.0,927.0,19,10,18,1,0,1,0
1130,1,2.5,0,4,1,58,0.1,132,5,14,88,1261.0,1018.0,17,1,16,1,0,0,0
672,0,0.5,0,7,1,35,0.1,99,8,17,574,1267.0,1403.0,16,7,6,1,0,0,0
1786,0,1.2,0,11,0,61,0.1,123,3,14,74,865.0,1.0,14,11,17,0,1,0,1
